G,is_sparse,num_params,num_ops,time
1,True,4.231976000000001,1152.614912,41.67800426483154
1,False,4.231976000000001,1152.614912,34.25684452056885
2,True,2.790183999999998,818.643456,33.912808895111084
4,True,2.069288,651.657728,29.88858461380005
8,True,1.7088400000000004,568.164864,27.03291893005371
16,True,1.5286160000000004,526.418464,25.825843811035156
32,True,1.4385040000000004,505.545248,27.90900230407715
64,True,1.3934480000000002,495.10864,26.823036670684814
